platform,product_url,product_name,brand,price,mrp,discount_percent,product_rating,num_ratings,seller_name,review_text,review_rating
Amazon,https://www.amazon.in/Nike-Revolution-Ember-Black-White-Running-BQ3207-605/dp/B098P7LN8G/ref=sr_1_1,Nike Women Lace Up Running Shoes,Nike,,,,,-118,Cocoblu Retail,I dont like,
Amazon,https://www.amazon.in/Nike-Mens-Runner-Sneakers-Black/dp/B00PYDTR3Y/ref=sr_1_7,Nike mens,Nike,,,,,"-4,713",Cocoblu Retail,Great Quality shoe,
Amazon,https://www.amazon.in/Nike-Zoom-Pegasus-Black-White-Anthracite/dp/B0CT3XW5DC/ref=sr_1_6,Nike mens Air Zoom Pegasus 41 Running Shoes,Nike,,,,,-131,Cocoblu Retail,"Excellent shoes. And kudos amazon for an amazing offer on the shoes.
Recieved an original shoes which are very comfortable",
Amazon,https://www.amazon.in/Nike-Court-Legacy-NN-WHITE-WHITE-BLACK-DH3162-101-11UK/dp/B0B1KCN61R/ref=sr_1_2,NIKE Men Mesh Running Shoes,NIKE,,,,,"-1,184",Cocoblu Retail,"The Nike Court Legacy Sneaker is an exceptional product that combines sleek design with high-quality craftsmanship. The understated and elegant appearance makes it suitable for everyday wear, while the durability and comfort ensure it stands up to daily use. This sneaker is an excellent choice for anyone looking for a versatile and stylish option that seamlessly fits into both casual and slightly formal settings.",
Amazon,https://www.amazon.in/Nike-Downshifter-Mens-Running-Shoes/dp/B0DPHXPB7J/ref=sr_1_3,NIKE Men Running Shoes,NIKE,,,,,"-1,256",Cocoblu Retail,The product comes as it looks in the picture. Very comfortable and great looking!,
Amazon,https://www.amazon.in/Nike-Mens-Court-Vision-Sneakers/dp/B0F9XFDFW5/ref=sr_1_5,Nike Men Running Shoes,Nike,,,,,"-1,523",Cocoblu Retail,"Very stylish and authentic product, feels premium, go for your actual size only. Thank me later",
Amazon,https://www.amazon.in/Nike-Quest-Mens-Running-Shoes/dp/B0D8W9N2W6/ref=sr_1_8,NIKE Men's Quest 6 Running Shoes,NIKE,,,,,-153,Sri Sai Enterprises Store,"Nike Quest 6 Running shoes.

Seller : Cocoblue

I had ordered the shoe on Sep 22 and it was delivered the next day in Bengaluru on Sep 23.

The packaging was good and delivery was prompt.

The shoe is an Original Nike product, manufactured in May 2025. The insole support, fittings, are good on this Quest 6 model. It’s was a value for money product.

Would definitely with future transaction with the seller and Amazon platform is one of the best for online purchases. Keep up the great support for your customers👍",
Amazon,https://www.amazon.in/Nike-Court-Vision-Mens-Sneakers/dp/B0F2GCCKWC/ref=sr_1_10,Nike Men Lace Up Sneaker Shoes,Nike,,,,,-829,Cocoblu Retail,"I’ve been using these Nike Court Vision Lo shoes for a while, and I’m really impressed! The build quality is excellent and the shoes feel super comfortable even after long walks. The cushioning gives great support, and the design looks premium.",
Amazon,https://www.amazon.in/Nike-OG-White-Blue-LT-Neutral-GREY-BLACK-DO9844-101-5UK/dp/B0CTMY8L8J/ref=sr_1_9,Nike Women Running Shoes,Nike,,,,,-8,Cocoblu Retail,Wow I can't believe it's real!,
Amazon,https://www.amazon.in/NIKE-Quest-Mens-Running-Shoes/dp/B0DPHXZDP5/ref=sr_1_4,Nike Mens Nike Quest 6 Running Shoes,Nike,,,,,-73,Cocoblu Retail,THERE IS COMPARISION OF NIKE WITH ANY OTHER BRAND IN THE WORLD I BOUGHT IT FOR COMFORT AND STYLE AND NO DOUGT IT BEATS BENCHMARKS. JUST WOW,
